Image,ROI,Type,Model,Dice,IoU
2D_WT_NADA_RADA_HADA_THY_40min_ROI1_SIM.czi,RoiSet_2D_WT_NADA_THY1.zip,Original,cyto,0.9460626481965624,0.8976460000945159
2D_WT_NADA_RADA_HADA_THY_40min_ROI1_SIM.czi,RoiSet_2D_WT_NADA_THY1.zip,Original,cyto2,0.9025651688020243,0.8224316771655326
2D_WT_NADA_RADA_HADA_THY_40min_ROI1_SIM.czi,RoiSet_2D_WT_NADA_THY1.zip,Denoised,cyto,0.9575886244691225,0.9186283332541756
2D_WT_NADA_RADA_HADA_THY_40min_ROI1_SIM.czi,RoiSet_2D_WT_NADA_THY1.zip,Denoised,cyto2,0.961255565668623,0.9254014114524404
2D_WT_NADA_RADA_HADA_THY_40min_ROI2_SIM.czi,RoiSet_2D_WT_NADA_THY2.zip,Original,cyto,0.8007246762934086,0.6676737697050371
2D_WT_NADA_RADA_HADA_THY_40min_ROI2_SIM.czi,RoiSet_2D_WT_NADA_THY2.zip,Original,cyto2,0.8648065205987103,0.7618142072616699
2D_WT_NADA_RADA_HADA_THY_40min_ROI2_SIM.czi,RoiSet_2D_WT_NADA_THY2.zip,Denoised,cyto,0.9629636455788635,0.9285726980288751
2D_WT_NADA_RADA_HADA_THY_40min_ROI2_SIM.czi,RoiSet_2D_WT_NADA_THY2.zip,Denoised,cyto2,0.9553779461044163,0.9145680416583585
2D_WT_NADA_RADA_HADA_THY_40min_ROI3_SIM.czi,RoiSet_2D_WT_NADA_THY3.zip,Original,cyto,0.8097799511001844,0.6803615447821667
2D_WT_NADA_RADA_HADA_THY_40min_ROI3_SIM.czi,RoiSet_2D_WT_NADA_THY3.zip,Original,cyto2,0.698269155970383,0.5364159258981928
2D_WT_NADA_RADA_HADA_THY_40min_ROI3_SIM.czi,RoiSet_2D_WT_NADA_THY3.zip,Denoised,cyto,0.9508072522074722,0.9062274345757195
2D_WT_NADA_RADA_HADA_THY_40min_ROI3_SIM.czi,RoiSet_2D_WT_NADA_THY3.zip,Denoised,cyto2,0.9074140827443935,0.8305196583749371
DpspA_NADA_RADA_HADA_NHS_40min_ROI1_SIM.jpg,DpspA_NHS_40min_ROI1_GroundTruth.zip,Original,cyto,0.7963909774434095,0.6616691654170158
DpspA_NADA_RADA_HADA_NHS_40min_ROI1_SIM.jpg,DpspA_NHS_40min_ROI1_GroundTruth.zip,Original,cyto2,0.9455934659463081,0.8968015992000263
DpspA_NADA_RADA_HADA_NHS_40min_ROI1_SIM.jpg,DpspA_NHS_40min_ROI1_GroundTruth.zip,Denoised,cyto,0.8537056928032335,0.7447526236878458
DpspA_NADA_RADA_HADA_NHS_40min_ROI1_SIM.jpg,DpspA_NHS_40min_ROI1_GroundTruth.zip,Denoised,cyto2,0.9652898972268621,0.9329085457267479
DpspA_NADA_RADA_HADA_NHS_40min_ROI2_SIM.jpg,DpspA_NHS_40min_ROI2_GroundTruth.zip,Original,cyto,0.8262928849815918,0.7040026207633856
DpspA_NADA_RADA_HADA_NHS_40min_ROI2_SIM.jpg,DpspA_NHS_40min_ROI2_GroundTruth.zip,Original,cyto2,0.902087727042212,0.8216391685029419
DpspA_NADA_RADA_HADA_NHS_40min_ROI2_SIM.jpg,DpspA_NHS_40min_ROI2_GroundTruth.zip,Denoised,cyto,0.7483971969582622,0.5979510393708387
DpspA_NADA_RADA_HADA_NHS_40min_ROI2_SIM.jpg,DpspA_NHS_40min_ROI2_GroundTruth.zip,Denoised,cyto2,0.9105480029848301,0.8357853356361797
WT_NADA_RADA_HADA_NHS_40min_ROI1_SIM.czi,RoiSet_NHS_bacteria_ROI1.zip,Original,cyto,0.9177121845768059,0.8479372783273587
WT_NADA_RADA_HADA_NHS_40min_ROI1_SIM.czi,RoiSet_NHS_bacteria_ROI1.zip,Original,cyto2,0.8566952795195065,0.7493149150643457
WT_NADA_RADA_HADA_NHS_40min_ROI1_SIM.czi,RoiSet_NHS_bacteria_ROI1.zip,Denoised,cyto,0.914057052040895,0.8417173791300472
WT_NADA_RADA_HADA_NHS_40min_ROI1_SIM.czi,RoiSet_NHS_bacteria_ROI1.zip,Denoised,cyto2,0.8546419393047522,0.7461788314354492
WT_NADA_RADA_HADA_NHS_40min_ROI2_SIM.czi,RoiSet_NHS_bacteria_ROI2.zip,Original,cyto,0.9344686641783593,0.8769978251815393
WT_NADA_RADA_HADA_NHS_40min_ROI2_SIM.czi,RoiSet_NHS_bacteria_ROI2.zip,Original,cyto2,0.8661238024281527,0.7638609967145654
WT_NADA_RADA_HADA_NHS_40min_ROI2_SIM.czi,RoiSet_NHS_bacteria_ROI2.zip,Denoised,cyto,0.919698469352003,0.8513349683031002
WT_NADA_RADA_HADA_NHS_40min_ROI2_SIM.czi,RoiSet_NHS_bacteria_ROI2.zip,Denoised,cyto2,0.8885345896099565,0.7994262181295823
WT_NADA_RADA_HADA_NHS_40min_ROI3_SIM.czi,RoiSet_NHS_bacteria_ROI3.zip,Original,cyto,0.9517161140197061,0.9078801331852171
WT_NADA_RADA_HADA_NHS_40min_ROI3_SIM.czi,RoiSet_NHS_bacteria_ROI3.zip,Original,cyto2,0.9007609079525395,0.8194403878730038
WT_NADA_RADA_HADA_NHS_40min_ROI3_SIM.czi,RoiSet_NHS_bacteria_ROI3.zip,Denoised,cyto,0.9184015163480558,0.8491150184004835
WT_NADA_RADA_HADA_NHS_40min_ROI3_SIM.czi,RoiSet_NHS_bacteria_ROI3.zip,Denoised,cyto2,0.8994004853978094,0.8171914247326337
